time_s,ax_ref_mps2,xi_ff_m,xi_ref_m,xi_actual_m,x_base_m,dx_base_mps,height_m
0.855,0,-0,-0.0279111283522182,-0.111071490659749,-0.184419417081092,-0.164953328475512,0.60317244685077
0.86,0,-0,-0.0281282224153221,-0.111129815141922,-0.185234442437384,-0.162026932049289,0.603225920113052
0.865,0,-0,-0.0283433323506468,-0.111176522431717,-0.186034811976209,-0.159093463816335,0.603276509939495
0.87,0,-0,-0.0285564222525477,-0.111211720501016,-0.186820493151507,-0.156153767808744,0.60332422958355
0.875,0,-0,-0.0287674569697867,-0.111235520598535,-0.187591457613992,-0.153208681027032,0.603369092941079
0.88,0,-0,-0.0289764021115682,-0.111248037151365,-0.188347681171216,-0.150259032018286,0.603411114496139
0.885,0,-0,-0.029183224053264,-0.111249387670564,-0.189089143754743,-0.147305643640482,0.60345030933136
0.89,0,-0,-0.0293878899417613,-0.111239692655165,-0.189815829381609,-0.144349330084523,0.603486693107652
0.895,0,-0,-0.0295903677004564,-0.111219075493184,-0.190527726113187,-0.141390897537891,0.60352028203197
0.9,0,-0,-0.0297906260338859,-0.111187662358421,-0.191224826013125,-0.138431143570832,0.60355109282318
0.905,0,-0,-0.0299886344320327,-0.111145582109803,-0.191907125108331,-0.135470858330419,0.603579142710788
0.91,0,-0,-0.0301843631742701,-0.111092966189615,-0.19257462334628,-0.132510822883038,0.603604449415548
0.915,0,-0,-0.030377783332961,-0.111029948519876,-0.193227324550445,-0.129551809486588,0.60362703112299
0.92,0,-0,-0.0305688667767156,-0.110956665398062,-0.193865236376204,-0.126594581537146,0.60364690646722
0.925,0,-0,-0.0307575861733079,-0.110873255392175,-0.194488370265559,-0.123639893321857,0.603664094513068
0.93,0,-0,-0.0309439149922566,-0.11077985923603,-0.195096741401272,-0.120688489870261,0.603678614740537
0.935,0,-0,-0.0311278275070667,-0.110676619723012,-0.195690368659386,-0.117741106667359,0.603690487023818
0.94,0,-0,-0.0313092987971487,-0.1105636816018,-0.196269274562735,-0.114798469931489,0.603699731624023
0.945,0,-0,-0.0314883047494015,-0.110441191470462,-0.196833485231837,-0.111861295892659,0.603706369169039
0.95,0,-0,-0.0316648220594761,-0.110309297672505,-0.197383030336531,-0.108930291143548,0.603710420644059
0.955,0,-0,-0.0318388282327079,-0.110168150189791,-0.197917943044751,-0.10600615187759,0.603711907365554
0.96,0,-0,-0.0320103015847454,-0.110017900539955,-0.198438259974253,-0.103089564825411,0.603710850982451
0.965,0,-0,-0.0321792212418546,-0.109858701671153,-0.198944021140579,-0.100181206039542,0.603707273455101
0.97,0,-0,-0.0323455671409198,-0.109690707860646,-0.199435269906623,-0.0972817415681515,0.603701197049731
0.975,0,-0,-0.0325093200291302,-0.109514074609815,-0.199912052929266,-0.0943918266906131,0.603692644315415
0.98,0,-0,-0.0326704614633771,-0.109328958545308,-0.20037442010917,-0.091512106739363,0.603681638088227
0.985,0,-0,-0.0328289738093426,-0.109135517316164,-0.200822424536326,-0.0886432159814523,0.603668201468467
0.99,0,-0,-0.0329848402403026,-0.10893390949691,-0.201256122438342,-0.0857857783893918,0.603652357820358
0.995,0,-0,-0.0331380447356343,-0.108724294486092,-0.201675573125307,-0.0829404068803801,0.603634130749908
1,0,-0,-0.0332885720790643,-0.108506832416428,-0.202080838940392,-0.0801077046874842,0.603613544130758
1.005,0.00294030000000013,-0.000180911060747302,-0.0334364365414439,-0.108281684047703,-0.202471985196477,-0.0772882613774233,0.603590622021887
1.01,0.0115248,-0.000709069524735384,-0.0335817080055916,-0.108049151744793,-0.2028490830793,-0.0744833282507496,0.603565531519341
1.015,0.0254043000000004,-0.00156294373822277,-0.0337245077523618,-0.107809893470075,-0.20321219803489,-0.0716904404914622,0.603538695101424
1.02,0.0442368000000001,-0.00272144541198067,-0.0338650042199405,-0.107564969534091,-0.203561360450705,-0.0689005364559419,0.603510640270778
1.025,0.0676874999999995,-0.00416393242619692,-0.0340034088492841,-0.107315789331418,-0.203896548502849,-0.0661026552062256,0.603481840827214
1.03,0.0954288000000001,-0.00587021038567033,-0.0341399720838369,-0.107064050139469,-0.20421768864271,-0.0632868458246822,0.60345266715526
1.035,0.127140299999999,-0.00782053337786886,-0.0342749795500748,-0.106811684698781,-0.204524664950815,-0.0604453841619263,0.603423402626027
1.04,0.1625088,-0.00999560461457085,-0.0344087484171404,-0.106560821097992,-0.204817330586758,-0.057572820250884,0.603394285533706
1.045,0.201228299999999,-0.0123765773344141,-0.0345416239199267,-0.106313751767287,-0.205095517412863,-0.0546654368591852,0.603365548735452
1.05,0.243,-0.01494505595336,-0.0346739760273162,-0.106072906770887,-0.20535904242384,-0.0517205822326673,0.603337444043052
1.055,0.287532299999999,-0.0176830972142751,-0.0348061962407136,-0.105840827694787,-0.205607711234404,-0.0487361328852316,0.603310249568619
1.06,0.334540800000001,-0.0205732110623539,-0.0349386945135799,-0.105620140517249,-0.205841319625057,-0.0457101810421544,0.603284264644826
1.065,0.383748299999999,-0.02359836107924,-0.0350718962874514,-0.105413527566955,-0.206059654188075,-0.0426409186960561,0.603259798642352
1.07,0.434884800000001,-0.026741964455774,-0.0352062396430027,-0.105223699689923,-0.206262492843412,-0.0395266508696767,0.603237159153742
1.075,0.4876875,-0.0299878915863728,-0.0353421725658627,-0.105053369922555,-0.206449605601003,-0.0363658587036192,0.603216642752413
